1,Damian,Kamiñski,79623636843,28.04.1996,72-119,K
2,Jakub,Abacki,85625991352,03.07.1967,45-957,M
3,Sebastian,Wiœniewski,79826362574,01.05.1982,28-735,M
4,Aleksander,Abacki,74862198816,15.08.1980,19-716,K
5,Adrian,Górski,72672858107,18.07.1989,60-969,M
6,Aleksander,Wolny,95098669822,14.03.1986,67-725,M
7,Krzysztof,Jab³onowski,90465010391,14.07.1996,5-505,K
8,Cezary,Kowalczyk,83146555788,11.03.1994,48-084,K
9,Wojciech,Danielak,92202880640,18.02.1990,15-677,K
10,Piotr,Wiœniewski,85940542668,07.06.1973,78-123,M
11,Piotr,WoŸniak,62714534904,16.02.1992,18-351,K
12,Bogdan,Kowalski,61552451317,02.10.1991,86-255,M
13,Piotr,Jab³onowski,86301843308,04.11.1963,3-532,K
14,Rafa³,Kowalczyk,72512492202,09.11.1986,80-004,M
15,Tomek,Kowalski,76903037299,14.12.1990,54-192,M
16,Szymon,WoŸniak,63790700455,25.06.1985,59-628,K
17,Wojciech,Wójcik,64786061900,07.09.1961,66-861,K
18,Tomek,Czerwiñski,82613133778,05.06.1985,70-739,K
19,Damian,Zieliñski,62674519964,06.07.1995,56-646,M
20,Michal,Kamiñski,78402029352,20.07.1960,76-706,M
21,Szymon,Górski,97482006300,27.07.1989,10-371,K
22,Krzysztof,Kamiñski,72712699701,16.12.1981,9-523,K
23,Wojciech,Zieliñski,63779301650,19.05.1963,3-131,M
24,Sylwester,Kamiñski,99574235955,02.07.1987,46-263,K
25,Szymon,Wójcik,64787224471,14.12.1967,73-798,M
26,Piotr,Boguszewski,77304736349,01.05.1989,50-785,M
27,Cezary,Nowak,92971465133,17.12.1999,23-717,M
28,Sebastian,Abacki,70913314270,09.06.1994,32-534,M
29,Jakub,Jab³onowski,63787532827,26.01.1982,53-086,M
30,Rafa³,WoŸniak,68878875984,25.04.1985,9-507,K
31,Damian,WoŸniak,85992751877,02.12.1967,14-269,M
32,Aleksander,Zieliñski,65676448182,15.09.1999,34-195,K
33,Marcin,Jab³onowski,80708610829,02.12.1993,56-139,M
34,Rafa³,Danielak,94144839455,25.06.1984,66-939,K
35,Bogdan,Danielak,85789037047,24.06.1994,75-758,K
36,Cezary,Nowak,60136785971,25.02.1973,23-308,K
37,Sylwester,Abacki,88175497481,26.07.1972,16-494,K
38,Damian,Kowalski,68654193035,28.06.1987,25-460,M
39,Sylwester,Danielak,74830083924,05.11.1967,22-101,K
40,Adam,Zieliñski,75442303134,13.01.1983,12-542,M
41,Tomek,Abacki,61252668355,03.05.1992,4-784,M
42,Damian,Wiœniewski,87765796014,11.10.1981,25-554,K
43,Bogdan,Zieliñski,82728059333,03.11.1982,34-051,K
44,Marcin,Boguszewski,99612341329,24.06.1998,41-985,K
45,Jakub,Abacki,80435881122,13.08.1961,68-788,M
46,Bogdan,Kowalski,65725732789,12.11.1972,77-331,M
47,Marcin,Abacki,86844152504,06.03.1999,27-320,M
48,Wojciech,Brodowicz,66944065493,23.12.1981,7-818,M
49,Szymon,Boguszewski,81960345109,09.02.1993,55-023,M
50,Wojciech,Górski,74651842318,09.07.1993,46-592,K
51,Cezary,Górski,95258006109,25.02.1983,30-299,M
52,Michal,Kamiñski,83119415454,15.12.1990,41-772,K
53,Bogdan,Wiœniewski,90598948511,26.11.1995,34-740,K
54,Sylwester,Brodowicz,62455682455,03.03.1964,60-662,K
55,Piotr,Jab³onowski,94450819893,23.07.1967,62-461,M
56,Cezary,Wolny,84186936667,24.03.1999,16-763,M
57,Tomek,WoŸniak,93836627984,09.02.1963,39-512,M
58,Damian,Wolny,73094880550,02.02.1973,74-832,M
59,Piotr,WoŸniak,77734723187,16.04.1988,54-279,M
60,Wojciech,Danielak,81245681721,06.09.1981,49-257,M
61,Adrian,Abacki,78206046068,27.07.1987,31-210,M
62,Jakub,Wiœniewski,82093496292,27.07.1992,39-291,M
63,Tomek,Boguszewski,81493023145,13.08.1989,44-880,M
64,Krzysztof,Kowalczyk,72727650931,14.02.1960,81-713,K
65,Adrian,Jab³onowski,63643446875,17.03.1987,49-834,K
66,Cezary,Wiœniewski,94520188838,06.11.1986,32-314,K
67,Adrian,Nowak,76200898775,13.07.1992,50-162,M
68,Wojciech,Kowalczyk,80360011837,25.12.1992,49-762,M
69,Adrian,Czerwiñski,68228085092,23.02.1964,67-192,M
70,Szymon,Czerwiñski,82443398217,28.01.1968,60-796,K
71,Szymon,WoŸniak,73054591152,20.10.1992,34-035,K
72,Sebastian,Boguszewski,77674399549,15.10.1974,38-036,M
73,Bogdan,Abacki,72196545415,22.08.1965,23-842,K
74,Adrian,Boguszewski,64653807871,01.10.1984,76-294,M
75,Krzysztof,Górski,93691328438,17.05.1965,54-863,K
76,Szymon,Górski,92351167693,15.03.1991,11-150,M
77,Tomek,Nowak,71907881210,12.06.1970,27-105,M
78,Krzysztof,Kamiñski,73836606492,11.10.1969,76-300,K
79,Tomek,Szymañski,77519926955,04.04.1999,78-165,M
80,Bogdan,Brodowicz,70764479980,12.03.1988,32-499,M
81,Jakub,WoŸniak,81054275295,25.06.1974,14-795,K
82,Aleksander,Boguszewski,92975928529,28.03.1990,77-445,M
83,Marcin,Szymañski,75442886416,20.04.1986,57-281,K
84,Tomek,Szymañski,98431660867,10.05.1994,37-461,K
85,Marcin,Abacki,69225698336,13.01.1992,72-075,M
86,Rafa³,Kamiñski,91458161537,14.11.1976,28-620,M
87,Krzysztof,Kowalczyk,94923814019,09.06.1986,62-998,M
88,Wojciech,Jab³onowski,74736191370,05.05.1964,86-110,K
89,Sylwester,Szymañski,94171361793,16.07.1995,79-579,M
90,Michal,Zieliñski,86695677462,02.05.1993,18-571,K
